
 SPT   Si   O
            1            0           13
            2            0         3243
            3            0         9175
            4          178          896
            5         2328            5
            6         3844            0
            7          311            0
            8            5            0
            9            0            0
           10            0            0
           11            0            0
           12            0            0
           13            0            0
           14            0            0
           15            0            0
           16            0            0
           17            0            0
           18            0            0
           19            0            0
