
 SPT   Si   O
            1            0           11
            2            0         3159
            3            0         9236
            4          203          923
            5         2206            3
            6         3902            0
            7          350            0
            8            5            0
            9            0            0
           10            0            0
           11            0            0
           12            0            0
           13            0            0
           14            0            0
           15            0            0
           16            0            0
           17            0            0
           18            0            0
           19            0            0
